Customer ID,Order Time,Stall,Item,Quantity,Price,Total,Remarks
90288065,2024-02-15 01:49:09.869143,Drinks,Calamansi,1,1.2,1.2,
90288065,2024-02-15 16:06:36.719707,Bubble Tea,Milk Tea,1,2.5,2.5,
90288065,2024-02-15 16:06:45.812389,Indian,Plain Prata,2,1.5,3.0,No Curry please
90288065,2024-02-15 16:26:14.179521,Indian,Plain Prata,9,1.5,13.5,
89234984,2024-02-16 04:21:16.048520,Ban Mian,Ban Mian,1,3,3.0,
90288065,2024-02-16 05:25:35.693604,Ban Mian,Tom Yum U Mian,1,3,3.0,
90288065,2024-02-16 05:31:04.981160,Ban Mian,Tom Yum U Mian,1,3,3.0,
23980448,2024-02-16 07:09:36.226908,Ban Mian,Dumplings,2,2.5,5.0,
90288065,2024-02-16 09:47:36.972468,Ban Mian,Tom Yum U Mian,2,3,6.0,
12345678,2024-08-02 02:10:36.241782,Drinks,Iced Milo,23,1,23.0,
12345678,2024-08-02 02:10:46.569492,Pizza,Cheese Pizza,28,4,112.0,
12345678,2024-08-02 02:10:54.386028,Chicken Rice,Char Siew Rice,28,3.5,98.0,
12345678,2024-08-02 02:10:59.946844,Waffle,Plain Waffle,28,2,56.0,
12345678,2024-08-02 02:11:07.301948,Muslim,Chicken Wing,28,0.7,19.60,
12345678,2024-08-02 02:11:27.590699,Pizza,Cheese Pizza,28,4,112.0,
80312327,2024-08-02 02:17:36.623460,Ban Mian,Ban Mian,1,3,3.0,
80312327,2024-08-02 02:17:58.298872,Drinks,Teh,1,1,1.0,
80312327,2024-08-02 02:18:00.336215,Drinks,Teh,1,1,1.0,
80312327,2024-08-02 02:18:02.348754,Drinks,Teh,1,1,1.0,
80312327,2024-08-02 02:18:04.772836,Ban Mian,Ban Mian,1,3,3.0,
80312327,2024-08-02 02:18:05.805204,Ban Mian,Ban Mian,1,3,3.0,
80312327,2024-08-02 02:18:06.887528,Ban Mian,Ban Mian,1,3,3.0,
80312327,2024-08-02 02:18:08.150882,Ban Mian,Ban Mian,1,3,3.0,
80312327,2024-08-02 02:18:12.356414,Chicken Rice,Roasted Chicken Rice,1,3,3.0,
80312327,2024-08-02 02:18:13.915997,Chicken Rice,Steamed Chicken Rice,1,3,3.0,
80312327,2024-08-02 02:18:14.877897,Chicken Rice,Steamed Chicken Rice,1,3,3.0,
80312327,2024-08-02 02:18:16.059743,Chicken Rice,Roasted Chicken Rice,1,3,3.0,
80312327,2024-08-02 02:18:17.534933,Chicken Rice,Roasted Chicken Rice,1,3,3.0,
80312327,2024-08-02 02:18:19.593340,Chicken Rice,Steamed Chicken Rice,1,3,3.0,
80312327,2024-08-02 02:18:27.422155,Snack,Muah Chee,2,2.5,5.0,
87654321,2024-08-02 02:24:17.700489,Drinks,Kopi,60,1,60.0,
87654321,2024-08-02 02:24:22.673376,Indian,Dosa,100,2.5,250.0,
87654321,2024-08-02 02:24:27.944284,Yong Tau Foo,Wongbok,74,0.5,37.0,
87654321,2024-08-02 02:24:31.866921,Curry Rice,Chicken Cutlet Curry Rice,36,3.5,126.0,
87654321,2024-08-02 02:24:36.311772,Vegetarian,Bee Hoon,96,2,192.0,
87654321,2024-08-02 02:24:42.903644,Snack,Sandwich,111,2,222.0,
11111111,2024-08-02 02:26:51.163487,Muslim,Rice,85,1,85.0,
11111111,2024-08-02 02:26:56.037101,Ban Mian,Tom Yum U Mian,84,3,252.0,
11111111,2024-08-02 02:27:00.222423,Mala,Tau Kwa,67,0.7,46.9,
11111111,2024-08-02 02:27:05.705737,Takoyaki,Ham And Cheese Takoyaki,56,4.5,252.0,
11111111,2024-08-02 02:27:10.643845,Vegetarian,Fried Rice,98,2.5,245.0,
11111111,2024-08-02 02:27:22.122086,Mala,Tau Pok,76,0.7,53.20,
11111111,2024-08-02 02:27:28.712037,Chicken Rice,Roasted Chicken Rice,89,3,267.0,
